courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
11,,,,,-,Architecture and computer organization,-,Course,-,,-,,-
11,0,,,,-,Objective,-,Course objective,-,,-,,-
11,0,1,,,-,Obj1,-,Course objective,-,Remembering,-,,-
11,0,2,,,-,Obj2,-,Course objective,-,Analyzing,-,,-
11,0,3,,,-,Obj3,-,Course objective,-,Understanding,-,,-
11,0,4,,,-,Obj4,-,Course objective,-,Applying,-,,-
11,0,5,,,-,Obj5,-,Course objective,-,Understanding,-,,-
11,0,6,,,-,Obj6,-,Course objective,-,Applying,-,,-
11,0,7,,,-,Obj7,-,Course objective,-,Understanding,-,,-
11,0,8,,,-,Obj8,-,Course objective,-,Applying,-,,-
11,0,9,,,-,Obj9,-,Course objective,-,Understanding,-,,-
11,0,10,,,-,Obj10,-,Course objective,-,Understanding,-,,-
11,0,11,,,-,Obj11,-,Course objective,-,Applying,-,,-
11,1,,,,-,Relational Model & Algebra,-,Relational Model & Algebra,-,Understanding,-,,-
11,1,1,,,-,Relational Model,-,Relational Model & Algebra,-,Understanding,-,,-
11,1,1,1,,-,Schema,-,Relational Model & Algebra,-,Understanding,-,,
11,1,1,2,,-,NULL values,-,Relational Model & Algebra,-,Understanding,-,,-
11,1,2,,,-,Constraints,-,Relational Model & Algebra,-,Understanding,-,,-
11,1,2,1,,-,Key,-,Relational Model & Algebra,-,Understanding,-,,-
11,1,2,2,,-,Foreign Key,-,Relational Model & Algebra,-,Understanding,-,,-
11,1,3,,,-,Relational Algebra,-,Relational Model & Algebra,-,Understanding,-,,
11,1,3,1,,-,Selection,-,Relational Model & Algebra,-,Understanding,-,,
11,1,3,2,,-,Projection,-,Relational Model & Algebra,-,Understanding,-,,
11,1,3,3,,-,Joins,-,Relational Model & Algebra,-,Understanding,-,,-
11,1,3,4,,-,Set Operations,-,Relational Model & Algebra,-,Understanding,-,,
11,2,,,,-,Entity/Relationship Models,-,Entity/Relationship Models,-,Understanding,-,,-
11,2,1,,,-,E/R Model,-,Entity/Relationship Models,-,Understanding,-,,
11,2,1,1,,-,Entities,-,Entity/Relationship Models,-,Understanding,-,,
11,2,1,2,,-,Attributes,-,Entity/Relationship Models,-,Understanding,-,,
11,2,1,3,,-,Relationships,-,Entity/Relationship Models,-,Understanding,-,,-
11,2,1,3,1,-,Roles,-,Entity/Relationship Models,-,Understanding,-,,
11,2,1,3,2,-,Cardinalities,-,Entity/Relationship Models,-,Understanding,-,,
11,2,1,3,3,-,Attributes,-,Entity/Relationship Models,-,Understanding,-,,
11,2,1,4,,-,Weak Entities,-,Entity/Relationship Models,-,Understanding,-,,
11,2,1,5,,-,Inheritance,-,Entity/Relationship Models,-,Understanding,-,,
11,2,2,,,-,E/R To Relational,-,Entity/Relationship Models,-,Understanding,-,,
11,2,3,,,-,UML Class Diagrams,-,Entity/Relationship Models,-,Understanding,-,,
11,3,,,,-,SQL,-,SQL,-,Understanding,-,,-
11,3,1,,,-,Table Definition,-,SQL,-,Understanding,-,,-
11,3,2,,,-,Basic SELECT Queries,-,SQL,-,Understanding,-,,-
11,3,3,,,-,Subqueries,-,SQL,-,Understanding,-,,
11,3,4,,,-,Aggregations,-,SQL,-,Understanding,-,,
11,3,5,,,-,Join Variants,-,SQL,-,Understanding,-,,
11,3,6,,,-,Set Operators,-,SQL,-,Understanding,-,,
11,3,7,,,-,Data Modification & Triggers,-,SQL,-,Understanding,-,,
11,4,,,,-,Normalization,-,Normalization,-,Understanding,-,,-
11,4,1,,,-,Introduction,-,Normalization,-,Understanding,-,,-
11,4,2,,,-,Normal Forms,-,Normalization,-,Understanding,-,,-
11,4,2,1,,-,First Normal Form,-,Normalization,-,Understanding,-,,-
11,4,2,2,,-,Relational Normal Forms,-,Normalization,-,Understanding,-,,
11,4,2,2,1,-,Introduction,-,Normalization,-,Understanding,-,,
11,4,2,2,2,-,Functional Dependencies,-,Normalization,-,Understanding,-,,-
11,4,2,2,3,-,Boyce-Codd Normal Form (BCNF),-,Normalization,-,Understanding,-,,-
11,4,2,2,4,-,Achieving Normalisation,-,Normalization,-,Understanding,-,,-
11,5,,,,-,Alternative Databases,-,Alternative Databases,-,Understanding,-,,-
11,5,1,,,-,NoSQL,-,Alternative Databases,-,Understanding,-,,-
11,5,1,1,,-,Key-value stores,-,Alternative Databases,-,Understanding,-,,-
11,5,1,1,1,-,DynamoDB,-,Alternative Databases,-,Understanding,-,,-
11,5,1,1,2,-,Cassandra,-,Alternative Databases,-,Understanding,-,,
11,5,1,1,3,-,memcached,-,Alternative Databases,-,Understanding,-,,
11,5,1,1,4,-,redis,-,Alternative Databases,-,Understanding,-,,
11,5,1,2,,-,Document stores,-,Alternative Databases,-,Understanding,-,,-
11,5,1,2,1,-,CouchDB,-,Alternative Databases,-,Understanding,-,,
11,5,1,2,2,-,MongoDB,-,Alternative Databases,-,Understanding,-,,
11,5,1,3,,-,Graph databases,-,Alternative Databases,-,Understanding,-,,
11,5,1,3,1,-,Neo4J,-,Alternative Databases,-,Understanding,-,,
11,5,1,3,2,-,Triple Stores,-,Alternative Databases,-,Understanding,-,,
11,5,1,4,,-,Text Indices,-,Alternative Databases,-,Understanding,-,,
11,5,1,4,1,-,Elasticsearch,-,Alternative Databases,-,Understanding,-,,
11,6,,,,-,Indexing,-,Indexing,-,Understanding,-,,-
11,6,1,,,-,Introduction,-,Indexing,-,Understanding,-,,-
11,6,2,,,-,Kinds of Indices,-,Indexing,-,Understanding,-,,-
11,6,2,1,,-,Ordered,-,Indexing,-,Understanding,-,,
11,6,2,2,,-,Hash,-,Indexing,-,Understanding,-,,
11,6,2,3,,-,B-Tree,-,Indexing,-,Understanding,-,,
11,6,2,4,,-,Inverted,-,Indexing,-,Understanding,-,,
11,6,3,,,-,Query Processing & Multi-Key,-,Indexing,-,Understanding,-,,
11,7,,,,-,Database APIs,-,Database APIs,-,Understanding,-,,
11,7,1,,,-,Database Client APIs,-,Database APIs,-,Understanding,-,,
11,7,2,,,-,ORM & Query Construction,-,Database APIs,-,Understanding,-,,
11,7,3,,,-,UDFs,-,Database APIs,-,Understanding,-,,
11,8,,,,-,OLAP & Warehousing,-,OLAP & Warehousing,-,Understanding,-,,
11,8,1,,,-,OLAP,-,OLAP & Warehousing,-,Understanding,-,,
11,8,1,1,,-,Data Warenouse,-,OLAP & Warehousing,-,Understanding,-,,
11,8,1,2,,-,Star Schema,-,OLAP & Warehousing,-,Understanding,-,,
11,8,1,3,,-,ETL,-,OLAP & Warehousing,-,Understanding,-,,
11,8,2,,,-,Data Cubes,-,OLAP & Warehousing,-,Understanding,-,,
11,8,2,1,,-,Cubes in SQL,-,OLAP & Warehousing,-,Understanding,-,,
11,9,,,,-,Transactions,-,Transactions,-,Understanding,-,,
11,9,1,,,-,Anomalies,-,Transactions,-,Understanding,-,,
11,9,1,1,,-,Lost Update,-,Transactions,-,Understanding,-,,
11,9,1,2,,-,Dirty Read,-,Transactions,-,Understanding,-,,
11,9,2,,,-,Conflicts/Scheduling,-,Transactions,-,Understanding,-,,
11,9,3,,,-,Serialization Strategies,-,Transactions,-,Understanding,-,,
11,9,3,1,,-,Pessimistic,-,Transactions,-,Understanding,-,,
11,9,3,2,,-,Optimistic,-,Transactions,-,Understanding,-,,
11,9,3,3,,-,Multi-Version,-,Transactions,-,Understanding,-,,
11,10,,,,-,Database System Architectures,-,Database System Architectures,-,Understanding,-,,
11,10,1,,,-,Centralized Database Systems,-,Database System Architectures,-,Understanding,-,,
11,10,2,,,-,Server System Architectures,-,Database System Architectures,-,Understanding,-,,
11,10,3,,,-,Parallel Systems,-,Database System Architectures,-,Understanding,-,,
